
폭염일수
지점/지역명 : 서울

평균 폭염일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위

2016,0,0,0,0,0,0,4,20,0,0,0,0,24,4
2017,0,0,0,0,0,1,5,7,0,0,0,0,13,9
2018,0,0,0,0,0,0,16,19,0,0,0,0,35,1
2019,0,0,0,0,1,0,4,10,0,0,0,0,15,7
2020,0,0,0,0,0,2,0,2,0,0,0,0,4,11
2021,0,0,0,0,0,0,15,3,0,0,0,0,18,6
2022,0,0,0,0,0,0,10,0,0,0,0,0,10,10
2023,0,0,0,0,0,2,6,11,0,0,0,0,19,5
2024,0,0,0,0,0,4,2,21,6,0,0,0,33,2
2025,0,0,0,0,0,3,15,9,1,0,0,0,28,3
2026,0,0,0,0,0,2,2,11,0,,,,15,7
평균,0.0,0.0,0.0,0.0,0.1,1.3,7.2,10.3,0.6,0.0,0.0,0.0


가장 긴 폭염
연도,지점,시작일,종료일,지속일수
2016,서울,2016-08-03,2016-08-13,11
2017,서울,2017-08-01,2017-08-07,7
2018,서울,2018-07-18,2018-08-08,22
2019,서울,2019-08-02,2019-08-06,5
2020,서울,2020-08-25,2020-08-26,2
2021,서울,2021-07-21,2021-07-31,11
2022,서울,2022-07-26,2022-07-30,5
2023,서울,2023-07-28,2023-08-08,12
2024,서울,2024-08-09,2024-08-20,12
2025,서울,2025-07-23,2025-08-02,11
2026,서울,2026-08-01,2026-08-08,8


가장 빠른/가장 늦은 폭염
연도,가장 빠른 지점,가장 빠른 날짜,가장 늦은 지점,가장 늦은 날짜
2016,서울,2016-07-10,서울,2016-08-23
2017,서울,2017-06-23,서울,2017-08-07
2018,서울,2018-07-15,서울,2018-08-22
2019,서울,2019-05-24,서울,2019-08-14
2020,서울,2020-06-13,서울,2020-08-26
2021,서울,2021-07-14,서울,2021-08-09
2022,서울,2022-07-02,서울,2022-07-30
2023,서울,2023-06-19,서울,2023-08-21
2024,서울,2024-06-14,서울,2024-09-18
2025,서울,2025-06-12,서울,2025-09-05
2026,서울,2026-06-16,서울,2026-08-23


서울 폭염일수


년도,날짜,지점,관측값
2016,0710,서울,33.1
2016,0711,서울,33.4
2016,0722,서울,34.1
2016,0730,서울,33
2016,0803,서울,34.2
2016,0804,서울,35.7
2016,0805,서울,36
2016,0806,서울,34
2016,0807,서울,35
2016,0808,서울,35.5
2016,0809,서울,33.6
2016,0810,서울,34.8
2016,0811,서울,36.4
2016,0812,서울,35.9
2016,0813,서울,35.1
2016,0815,서울,34
2016,0816,서울,34.9
2016,0817,서울,34.7
2016,0818,서울,34.3
2016,0819,서울,33.2
2016,0820,서울,34.9
2016,0821,서울,36.6
2016,0822,서울,36.3
2016,0823,서울,33
2017,0623,서울,34.1
2017,0706,서울,34.6
2017,0714,서울,33
2017,0719,서울,34.1
2017,0720,서울,34.9
2017,0725,서울,35.4
2017,0801,서울,33
2017,0802,서울,33
2017,0803,서울,33.9
2017,0804,서울,35.3
2017,0805,서울,34.8
2017,0806,서울,34
2017,0807,서울,34.4
2018,0715,서울,33.2
2018,0716,서울,34
2018,0718,서울,33.2
2018,0719,서울,34.1
2018,0720,서울,34.7
2018,0721,서울,36.9
2018,0722,서울,38
2018,0723,서울,35.7
2018,0724,서울,36.8
2018,0725,서울,34.1
2018,0726,서울,33.7
2018,0727,서울,35.4
2018,0728,서울,35.2
2018,0729,서울,36.7
2018,0730,서울,36.9
2018,0731,서울,38.3
2018,0801,서울,39.6
2018,0802,서울,37.9
2018,0803,서울,37.9
2018,0804,서울,34.9
2018,0805,서울,33.9
2018,0806,서울,35.3
2018,0807,서울,35.9
2018,0808,서울,35.3
2018,0810,서울,36.8
2018,0811,서울,36
2018,0812,서울,35.3
2018,0813,서울,34.4
2018,0814,서울,37.2
2018,0815,서울,38
2018,0816,서울,35.6
2018,0817,서울,33.8
2018,0819,서울,34.4
2018,0820,서울,33.3
2018,0822,서울,37.6
2019,0524,서울,33.4
2019,0705,서울,35
2019,0706,서울,36.1
2019,0719,서울,35
2019,0727,서울,33.4
2019,0802,서울,33.1
2019,0803,서울,36
2019,0804,서울,34.4
2019,0805,서울,35.9
2019,0806,서울,36.8
2019,0809,서울,34.6
2019,0810,서울,36.5
2019,0811,서울,35.7
